Date : 2023-02-24 15:26:29
Directory : c:\Users\yosrh\fluttertrain\instagram_flutter
Total : 62 files,  2226 codes, 298 comments, 336 blanks, all 2860 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\yosrh\fluttertrain\instagram_flutter\web\index.html                                                            | HTML            |         37 |         16 |          6 |         59 |
| c:\Users\yosrh\fluttertrain\instagram_flutter\web\manifest.json                                                         | JSON            |         35 |          0 |          1 |         36 |
| c:\Users\yosrh\fluttertrain\instagram_flutter\windows\flutter\generated_plugin_registrant.cc                            | C++             |          6 |          4 |          5 |         15 |
| c:\Users\yosrh\fluttertrain\instagram_flutter\windows\flutter\generated_plugin_registrant.h                             | C++             |          5 |          5 |          6 |         16 |
| c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\flutter_window.cpp                                         | C++             |         45 |          4 |         13 |         62 |
| c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\flutter_window.h                                           | C++             |         20 |          5 |          9 |         34 |
| c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\main.cpp                                                   | C++             |         30 |          4 |         10 |         44 |
| c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\resource.h                                                 | C++             |          9 |          6 |          2 |         17 |
| c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\utils.cpp                                                  | C++             |         53 |          2 |         10 |         65 |
| c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\utils.h                                                    | C++             |          8 |          6 |          6 |         20 |
| c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\win32_window.cpp                                           | C++             |        183 |         15 |         48 |        246 |
| c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\win32_window.h                                             | C++             |         48 |         29 |         22 |         99 |
| Total                                                                                                                   |                 |      2,226 |        298 |        336 |      2,860 |
+-------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
